id,name,age,position,club,league,minutes,appearances,goals,assists,xG,xA,shots,shots_on_target,key_passes,passes_per90,pass_accuracy_pct,dribbles_per90,tackles_per90,interceptions_per90,yellow_cards,red_cards,clean_sheets,market_value_eur
1,Hassan Ali,26,GK,N/A,N/A,1063,11,0,0,0,0,0,0,0,62.8,81.4,0,0.19,0.32,6,0,7,3300
2,Saqib Hanif,22,GK,N/A,N/A,1658,18,0,0,0,0,0,0,0,37.8,76.1,0,0.35,0.48,0,0,11,5100
3,Yousuf Butt,22,GK,N/A,N/A,1993,22,0,0,0,0,0,0,0,56.5,62.4,0,0.19,0.69,5,0,13,6100
4,Adam Khan,24,LW,N/A,N/A,1928,21,12,12,3.2,3.66,108,38,17,24.3,89.2,1.18,1.88,0.58,7,0,,540700
5,Umair Arooj,31,MF,N/A,N/A,1185,13,4,2,0.97,0.95,38,19,27,78.4,72.8,0.52,2.49,0.96,1,0,,88900
6,Muzammil Hussain,20,MF,N/A,N/A,1226,13,10,2,3.26,0.84,13,5,38,84.7,76.9,1.95,2.19,0.31,1,0,,232800
7,Salman Ul Haq,25,LW,N/A,N/A,1993,22,1,4,0.24,1.36,97,53,16,83.2,84.4,1.06,0.53,1.11,10,0,,125100
8,Usman Ali,23,DM,N/A,N/A,1526,16,2,1,0.42,0.62,16,9,9,44.6,65.5,0.56,2.76,2.16,4,0,,62300
9,Tanveer Mumtaz,24,DEF,N/A,N/A,1222,13,0,3,0.13,1.04,17,8,2,59.7,90.6,0.1,2.06,1.71,3,0,,51300
10,Abdullah Iqbal,23,CB,N/A,N/A,2176,24,3,2,0.58,0.61,3,1,1,45.2,80.9,0.14,1.44,0.64,0,0,,1200000
11,Haseeb Khan,18,CB,N/A,N/A,2253,25,0,1,0,0.44,17,5,9,55.9,71.6,0.28,1.81,0.69,6,0,,23900
12,Mamoon Mossa Khan,30,CB,N/A,N/A,2812,31,0,0,0,0.44,3,1,3,54.1,68.8,0.11,1.93,2.25,1,0,,12800
13,Waqar Ihtisham,20,CB,N/A,N/A,1107,12,4,0,0.99,0.56,7,2,7,51.7,88.3,0.54,1.33,0.5,6,0,,71800
14,Mohib Ullah,31,DEF,N/A,N/A,2068,22,3,3,0.46,0.63,1,0,8,32.7,73.5,0.03,1.95,2.34,8,0,,68000
15,Muhammad Bilal,33,DEF,N/A,N/A,1228,13,1,0,0.24,0.41,7,2,9,41.1,81.1,0.37,1.84,1.67,8,0,,19800
16,Ghazanfar Abbas,25,LW,N/A,N/A,1436,15,10,11,2.83,2.96,21,10,19,49.7,89.7,1.88,0.32,1.11,9,0,,471300
17,Abdullah Shah,19,MF,N/A,N/A,2802,31,3,8,0.69,2.75,117,32,15,44,65,1.68,1.85,1.1,10,0,,174900
18,Arslan Ali,26,LW,N/A,N/A,1024,11,2,4,0.25,1.09,75,22,18,59.3,83,0.49,1.7,0.64,7,0,,140500
19,Sohail Khan,18,LW,N/A,N/A,978,10,10,6,3.3,1.54,47,24,40,83.7,65.2,0.94,1.85,1.03,1,0,,326500
20,Muhammad Sohail,21,RW,N/A,N/A,2834,31,0,5,0.07,1.37,21,5,23,78.4,85.5,1.74,2.28,0.57,3,0,,128900
21,Abdul Rehman,28,LB,N/A,N/A,2893,32,6,9,2.02,2.99,35,19,51,72.7,88.2,0.15,1.92,0.73,6,0,,330400
22,Mohammad Fazal,24,LB,N/A,N/A,1692,18,2,12,0.78,3.31,9,4,14,33,89.4,0.76,2.11,1.43,3,0,,300100
23,Junaid Shah,23,MF,N/A,N/A,2232,24,5,4,1.83,1.77,40,14,32,46,91.4,1.12,2.37,0.45,4,0,,203200
24,Omer Rao,25,RB,N/A,N/A,756,8,1,9,0.24,2.83,45,18,32,27.5,88.8,0.46,0.4,0.87,8,0,,229700
25,Hamza Munir,23,RW,N/A,N/A,2091,23,6,1,2.2,0.99,84,30,54,28.1,88.8,1.06,1.77,0.72,4,0,,228900
26,Zainul Abideen,23,AM,N/A,N/A,2322,25,10,6,3.16,2.22,83,37,25,55.6,60,0.65,1.25,1.05,10,0,,328400
27,Ali Uzair,31,MF,N/A,N/A,2411,26,10,3,3.01,1.38,106,53,42,25.5,76.5,1.3,1.04,1.36,3,0,,189700
28,Ali Zafar,24,MF,N/A,N/A,1415,15,2,0,0.19,0.79,83,45,4,49.6,88.4,1.19,1.88,0.8,6,0,,50800
29,Zaid Shah,17,MF,N/A,N/A,1036,11,12,6,3.35,2.14,94,40,3,56.2,89.4,0.33,0.59,0.9,8,0,,284100
30,Yasir Arafat,27,DEF,N/A,N/A,2712,30,4,3,0.93,0.78,5,2,7,50.3,85.3,0.5,1.55,2.06,7,0,,126400
31,Alamgir Ghazi,25,DEF,N/A,N/A,2701,30,0,2,0,0.5,17,4,2,40.4,83.7,0.42,1.13,1.32,8,0,,39000
32,Rahis Nabi,18,RW,N/A,N/A,1447,16,6,6,2.16,1.97,94,24,56,69.8,72.2,0.11,1.07,1.28,6,0,,263900
33,Harun Hamid,24,RW,N/A,N/A,2599,28,3,4,0.84,1.02,48,23,51,46.3,65.3,0.99,0.58,1.11,0,0,,201700
34,Umair Ali,17,MF,N/A,N/A,943,10,10,6,2.67,1.87,11,3,20,33.8,70.5,1.55,1.13,1.28,6,0,,258000
35,Nizam Uddin,19,RW,N/A,N/A,2526,28,0,11,0.04,3.55,49,16,4,70.8,80.9,1.53,2.39,0.56,0,0,,191500
36,Mohammad Hayan Khattak,24,DEF,N/A,N/A,1417,15,3,0,0.63,0.13,8,4,2,57.3,91,0.43,2.56,0.83,4,0,,58900
37,Ahmed Salman,17,LW,N/A,N/A,1877,20,9,10,3.07,2.8,96,30,37,64.9,80.1,0.29,2,1.41,9,0,,373500
38,Adnan Justin,18,LW,N/A,N/A,2022,22,8,6,2.55,1.56,87,32,54,47.3,75.7,0.92,1.1,1.46,7,0,,299200
39,Abdul Salam,30,LW,N/A,N/A,1321,14,11,8,3.72,2.22,108,61,49,51.4,73.9,1.49,0.89,1.41,1,0,,408100
40,Tauqeer Ul Hassan,31,RW,N/A,N/A,1598,17,12,7,3.66,2.28,48,12,54,41.1,75.6,0.77,0.87,0.66,9,0,,312300
41,Ali Shah,25,AM,N/A,N/A,2876,31,0,8,0.4,2.07,97,38,35,69.3,82.1,1.33,1.38,1.33,1,0,,165900
42,Abdul Arshad,29,RW,N/A,N/A,1596,17,4,10,1.27,2.88,72,26,47,55.8,71.3,0.96,0.97,0.6,3,0,,100000
43,Moin Ahmed,22,DEF,N/A,N/A,1684,18,1,3,0.11,0.8,16,7,1,67.5,73,0.22,1.6,1.92,2,0,,65900
44,Shayek Dost,18,LW,N/A,N/A,2866,31,4,11,1.6,3.26,101,42,55,20.8,69.1,1.01,1.05,1.56,4,0,,308000
45,Muhammad Waleed,32,AM,N/A,N/A,1067,11,1,6,0.29,1.96,92,24,9,72.7,90.4,0.26,0.85,1.03,6,0,,84000
46,Aqib Ali,24,ST,N/A,N/A,2440,27,12,7,9.83,2.11,160,95,19,38.4,52.3,2.41,0.33,0.79,3,0,,520200
47,Fareed Ullah,19,ST,N/A,N/A,943,10,7,2,5.08,0.69,114,46,38,33.5,51.2,0.86,0.57,0.87,1,0,,228500
48,Imran Kayani,25,ST,N/A,N/A,2860,31,18,10,13.66,2.74,39,17,9,55.4,81.4,0.36,0.42,0.38,4,0,,736100
49,McKeal Abdullah,31,ST,N/A,N/A,1545,17,22,6,16.95,2.1,136,54,38,12,66.4,0.94,0.53,0.18,0,0,,50000
50,Adeel Younas,25,ST,N/A,N/A,2660,29,1,12,1.6,3.56,176,71,17,19.1,72.2,1.66,0.84,0.18,5,0,,297800
51,Furqan Umar,27,RW,N/A,N/A,1028,11,2,5,0.52,1.65,89,51,52,69.4,61.2,0.27,0.86,0.45,6,0,,193700
52,Ali Raza,17,DM,N/A,N/A,2792,31,3,0,0.48,0.22,15,7,12,32.3,72.2,0.08,1.58,2.26,7,0,,57200
